phrase,PQP,auxiliary,verb,marker,translation,group
Sur la fin quand même on l'avait appris maintenant on l'a perdu parce que.,sur la fin on l'avait appris,avoir,apprendre,sur la fin,at the end,finally
oui enfin les concours que j'avais passés étaient effectivement sur Paris,enfin les concours que j'avais passés,avoir,passer,enfin,finally,finally
euh enfin moi ça m'avait ça m'avait plu oui oui,enfin ça m'avait plu,avoir,plaire,enfin,finally,finally
enfin les voisins l'immeuble avait organisé un,enfin l'immeuble avait organisé,avoir,organiser,enfin,finally,finally
les anciens pas les vieux avaient fait un petit sapin avaient mis des décos enfin,les anciens avaient mis enfin,avoir,mettre,enfin,finally,finally
non parce qu'en fait j'étais à la cantine donc à la enfin à Saint-Ouen et j'étais avec une amie et c'est vrai que enfin à côté on avait des filles de collège qui parlaient et on comprenait rien mais vraiment rien rien rien enfin elles avaient inventé des mots et ben enfin je trouve ça vraiment marrant de voir parce que enfin pour moi dans mon lycée tout le monde parlait enfin normalement on se comprenait et là elles parlaient mais c'était euh indéchiffrable mais enfin je trouve ça marrant que enfin je sais pas j'ai l'impression qu'ils,enfin elles avaient inventé,avoir,inventer,enfin,finally,finally
quand est-ce qu'ils avaient été elles avaient été réalisées enfin,ils avaient été enfin,avoir,être,enfin,finally,finally
quand est-ce qu'ils avaient été elles avaient été réalisées enfin,elles avaient été enfin,avoir,être,enfin,finally,finally
moi j'ai k- en fait la premièr- enfin j'avais je m'étais acheté un vélo quand j'avais dix-sept ans,enfin je m'étais acheté,être,s’acheter,enfin,finally,finally
enfin on en avait lu plein dans l'année,enfin on en avait lu,avoir,lire,enfin,finally,finally
pff non un quartier qui a pas mal changé mais enfin il avait ça fait,enfin il avait ça fait,avoir,faire,enfin,finally,finally
en mille neuf cent soixante et onze mon mari et moi qui nous étions installés ailleurs dans un tout petit appartement qui venions d'avoir enfin nous avions eu deux enfants,enfin nous avions eu,avoir,avoir,enfin,finally,finally
enfin je me souviens que ma mère nous aidait enfin m'avait aidée à,ma mère enfin m'avait aidée,avoir,aider,enfin,finally,finally
à ce qu'on peut faire moi je me souviens on allait acheter ici enfin on avait visité des maisons ici et on parlait de ça de la préemption,enfin on avait visité,avoir,visiter,enfin,finally,finally
enfin j'avais entendu parler de ça mais sans plus donc euh,enfin j'avais entendu,avoir,entendre,enfin,finally,finally
on a déniché enfin on avait emporté du Havre une vieille étagère rustique,enfin on avait emporté,avoir,emporter,enfin,finally,finally
parce qu'enfin si j'avais accepté c'était de bon coeur,enfin j'avais accepté,avoir,accepter,enfin,finally,finally
moi enfin elle m'avait parlé de ça mon mais,enfin elle m'avait parlé,avoir,parler,enfin,finally,finally
vous avez dit tout à l'heure que vous l'aviez acheté pour votre fille enfin ?,vous l'aviez acheté enfin,avoir,acheter,enfin,finally,finally
enfin elle avait commencé une école d'ingénieurs,enfin elle avait commencé,avoir,commencer,enfin,finally,finally
elle avait eu un prof très enfin qui l'avait accrochée,un prof très enfin qui l'avait accrochée,avoir,accrocher,enfin,finally,finally
donc jusqu'à la enfin l'année dernière je les avais inscrits,enfin l'année dernière je les avais inscrits,avoir,inscrire,enfin,finally,finally
qu'est-ce qui avait été cette année enfin,qu'est-ce qui avait été cette année enfin,avoir,être,enfin,finally,finally
je la mets dans mes oeufs cassés vous voyez je casse mes oeufs et je je mets cette eau de champignon dans mes oeufs alors j'ai fait cuire mes champignons avec de l'ail du persil et puis salez poivrez alors mes oeufs que j'avais cassés euh enfin une quantité soit huit neuf selon le nombre de personnes je les ai battus comme i(l) faut je les ai salés je les ai poivrés et p(u)is alors j'ai remis dans la poêle mes rognons avec mes champignons,j'avais cassés enfin,avoir,casser,enfin,finally,finally
il avait mis son plan sous le coude enfin il voulait de l'eau,il avait mis enfin,avoir,mettre,enfin,finally,finally
et est-ce que vous vous souvenez quand est-ce qu'on vous l'avait acheté enfin quand est-ce que depuis quand vous l'avez ?,vous l'avait acheté enfin,avoir,acheter,enfin,finally,finally
enfin si vous aviez dû choisir un autre métier ?,enfin si vous aviez dû,avoir,devoir,enfin,finally,finally
enfin tu l'avais choisi quelque part ou,enfin tu l'avais choisi,avoir,choisir,enfin,finally,finally
"elle avait continué le métier tout en euh, elle avait juste commencé à apprendre avant. Enfin elle avait continué le métier puis euh.",enfin elle avait continué puis,avoir,continuer,enfin,finally,finally
ils avaient invité tout le monde dans l'entrée à amener des gâteaux des boissons ils avaient fait un enfin les les vieux de l'immeuble on va dire,ils avaient fait un enfin,avoir,faire,enfin,finally,finally
