phrase,PQP,auxiliary,verb,marker,translation,group
"Ah oui. C'est qu'il avait été bien déçu, il avait vécu pendant quelques années avec euh,",il avait vécu pendant quelques années,avoir,vivre,pendant quelques années,for some years,during
précaires précaires précaires dans la précarité euh bon donc j'avais été relogée ici entre temps mon il y a eu des différents familiaux c'est assez graves puisque mon mari s'était mis enfin mon le père de mon fils s'est mis à boire donc ça veut dire que il y a eu séparation et je peux dire que moi j'ai un fils qui est né dans le chômage et qui a vécu dans le chômage et dans le RMI avec un parcours,puisque mon mari s'était mis,être,se mettre,puisque,since,since
"(Depuis) on s'était pas revu et, ça fait un gros pincement au coeur et, je crois que quand on se retrouve une fois il faut garder les liens,",depuis on s'était pas revu,être,se revenir,depuis,since,since
quand j'avais commencé au chantier depuis que j'ai commencé au chantier jusqu'au soir puisque,depuis que j'avais commencé,avoir,commencer,depuis,since,since
oh non non je me suis investi je je je trouvais que tout était intéressant mais depuis le début j'avais fait le choix que ce serait de la science,depuis le début j'avais fait,avoir,faire,depuis (le début),since (the beginning),since
parce que vous vous aviez toujours vécu euh ?,vous vous aviez toujours vécu,avoir,vivre,toujours,always,always
elle avait toujours rêvé de de monter une comédie musicale donc elle l'a montée,elle avait toujours rêvé,avoir,rêver,toujours,always,always
vous aviez toujours vécu à Strasbourg ?,vous aviez toujours vécu,avoir,vivre,toujours,always,always
alors euh moi j'avais toujours entendu dire que Tours c'était plus sympa,j'avais toujours entendu,avoir,entendre,toujours,always,always
là cette fois j'avais vu,là cette fois j'avais vu,avoir,voir,cette fois,this time,now
et j'avais prévu aujourd'hui je devais aller,j'avais prévu aujourd'hui,avoir,prévenir,aujourd'hui,today,now
euh tout ça sé- s'évacue toute connaissance s'évacue et on trouvait au moment du service militaire beaucoup d'illettrés qui à ce temps là avaient été en classe jusqu'à douze ans,beaucoup d'illettrés qui à ce temps là avaient été,avoir,être,ce temps,this time,now
qu'est-ce qui avait été cette année enfin,qu'est-ce qui avait été cette année enfin,avoir,être,cette année,this year,now
mais je l'avais pas encore vue sur le campus,je l'avais pas encore vue,avoir,voir,encore,again,again
et encore ils les avaient retapées un peu et encore,encore ils les avaient retapées,avoir,retaper,encore,again,again
"Lui, comme il l'avait changé de service à chaque fois, c'était une horreur, une horreur. <A: Je lui dis: 'Vous vous foutez, vous?' Je lui dis: 'Vous vous foutez de ma gueule?' Il me dit: 'Demandez à l'autre.' Je vais voir l'autre.>",il l'avait changé à chaque fois,avoir,changer,chaque fois,each time,each time
